news_id,ticker,stock_name,date,open,high,low,close,volume
e717aa86-9d39-4fd9-bd8a-ea5fb985ad73,476060,온코닉테라퓨틱스,2025-11-17,14430,15300,13950,14520,3055197
e717aa86-9d39-4fd9-bd8a-ea5fb985ad73,476060,온코닉테라퓨틱스,2025-11-18,14490,15530,13090,14970,6959777
e717aa86-9d39-4fd9-bd8a-ea5fb985ad73,476060,온코닉테라퓨틱스,2025-11-19,15130,16600,14580,15770,7806852
e717aa86-9d39-4fd9-bd8a-ea5fb985ad73,476060,온코닉테라퓨틱스,2025-11-20,15900,16620,15500,16210,3752803
e717aa86-9d39-4fd9-bd8a-ea5fb985ad73,476060,온코닉테라퓨틱스,2025-11-21,15700,18510,15420,17140,8886107
e717aa86-9d39-4fd9-bd8a-ea5fb985ad73,476060,온코닉테라퓨틱스,2025-11-24,17170,18000,16240,16460,3027662
e717aa86-9d39-4fd9-bd8a-ea5fb985ad73,476060,온코닉테라퓨틱스,2025-11-25,16600,17300,15270,15420,3294075
e717aa86-9d39-4fd9-bd8a-ea5fb985ad73,476060,온코닉테라퓨틱스,2025-11-26,15550,16240,15320,15640,2360053
e717aa86-9d39-4fd9-bd8a-ea5fb985ad73,476060,온코닉테라퓨틱스,2025-11-27,15870,18190,15770,17750,10724821
e717aa86-9d39-4fd9-bd8a-ea5fb985ad73,476060,온코닉테라퓨틱스,2025-11-28,17880,21450,17590,20750,11964071
e717aa86-9d39-4fd9-bd8a-ea5fb985ad73,476060,온코닉테라퓨틱스,2025-12-01,21100,21200,19790,19860,3460786
e717aa86-9d39-4fd9-bd8a-ea5fb985ad73,476060,온코닉테라퓨틱스,2025-12-02,19860,20500,18970,20050,3493032
e717aa86-9d39-4fd9-bd8a-ea5fb985ad73,476060,온코닉테라퓨틱스,2025-12-03,20150,21000,19850,19980,2783420
e717aa86-9d39-4fd9-bd8a-ea5fb985ad73,424870,이뮨온시아,2025-11-17,6540,7220,6450,6980,23945536
e717aa86-9d39-4fd9-bd8a-ea5fb985ad73,424870,이뮨온시아,2025-11-18,6940,7460,6810,7180,15867366
e717aa86-9d39-4fd9-bd8a-ea5fb985ad73,424870,이뮨온시아,2025-11-19,7130,7410,6810,6940,5412691
e717aa86-9d39-4fd9-bd8a-ea5fb985ad73,424870,이뮨온시아,2025-11-20,6940,7380,6820,7240,6960687
e717aa86-9d39-4fd9-bd8a-ea5fb985ad73,424870,이뮨온시아,2025-11-21,7040,7450,7010,7130,4956272
e717aa86-9d39-4fd9-bd8a-ea5fb985ad73,424870,이뮨온시아,2025-11-24,7250,7950,7050,7250,7927136
e717aa86-9d39-4fd9-bd8a-ea5fb985ad73,424870,이뮨온시아,2025-11-25,7300,7920,7300,7500,7856374
e717aa86-9d39-4fd9-bd8a-ea5fb985ad73,424870,이뮨온시아,2025-11-26,7680,9090,7560,8770,38011896
e717aa86-9d39-4fd9-bd8a-ea5fb985ad73,424870,이뮨온시아,2025-11-27,8770,11280,8630,10840,39233565
e717aa86-9d39-4fd9-bd8a-ea5fb985ad73,424870,이뮨온시아,2025-11-28,10840,11050,10380,10830,10485871
e717aa86-9d39-4fd9-bd8a-ea5fb985ad73,424870,이뮨온시아,2025-12-01,10780,10780,9970,10070,6169990
e717aa86-9d39-4fd9-bd8a-ea5fb985ad73,424870,이뮨온시아,2025-12-02,10060,11700,9900,10950,21910995
